id,name
0,drink water
1,eat meal/snack
2,brushing teeth
3,brushing hair
4,pickup
5,throw
6,sitting down
7,standing up (from sitting position)
8,clapping
9,reading
10,writing
11,tear up paper
12,take off jacket
13,wear a shoe
14,take off a shoe
15,wear on glasses
16,take off glasses
17,put on a hat/cap
18,take off a hat/cap
19,cheer up
20,hand waving
21,kicking something
22,reach into pocket
23,hopping (one foot jumping)
24,jump up
25,make a phone call/answer phone
26,playing with phone/tablet
27,typing on a keyboard
28,pointing to something with finger
29,taking a selfie
30,check time (from watch)
31,rub two hands together
32,nod head/bow
33,shake head
34,wipe face
35,put the palms together
36,cross hands in front (say stop)
37,sneeze/cough
38,staggering
39,falling
40,touch chest (stomachache/heart pain)
41,touch back (backache)
42,touch neck (neckache)
43,nausea or vomiting condition
44,use a fan (with hand or paper)/feeling warm
45,kicking other person
46,pushing other person
47,pat on back of other person
48,point finger at the other person
49,hugging other person
50,giving something to other person
51,touch other persons pocket
52,handshaking
53,walking towards each other
54,walking apart from each other
55,put on headphone
56,take off headphone
57,shoot at the basket
58,bounce ball
59,tennis bat swing
60,hush (quite)
61,flick hair
62,thumb up
63,thumb down
64,make ok sign
65,make victory sign
66,staple book
67,counting money
68,cutting nails
69,cutting paper (using scissors)
70,snapping fingers
71,open bottle
72,sniff (smell)
73,squat down
74,toss a coin
75,fold paper
76,ball up paper
77,play magic cube
78,apply cream on face
79,apply cream on hand back
80,put on bag
81,take off bag
82,take something out of a bag
83,open a box
84,move heavy objects
85,shake fist
86,throw up cap/hat
87,hands up (both hands)
88,arm circles
89,arm swings
90,running on the spot
91,cross toe touch
92,side kick
93,yawn
94,stretch oneself
95,blow nose
96,hit other person with something
97,knock over other person (hit with body)
98,grab other person’s stuff
99,shoot at other person with a gun
100,step on foot
101,high-five
102,cheers and drink
103,carry something with other person
104,take a photo of other person
105,follow other person
106,whisper in other person’s ear
107,exchange things with other person
108,support somebody with hand
109,finger-guessing game (playing rock-paper-scissors)
