id,name
0,drink water
1,eat meal/snack
2,brushing teeth
3,brushing hair
4,drop
5,pickup
6,throw
7,sitting down
8,standing up (from sitting position)
9,clapping
10,tear up paper
11,wear jacket
12,take off jacket
13,wear a shoe
14,take off a shoe
15,wear on glasses
16,take off glasses
17,take off a hat/cap
18,cheer up
19,hand waving
20,kicking something
21,put something inside pocket / take out something from pocket
22,hopping (one foot jumping)
23,make a phone call/answer phone
24,playing with phone/tablet
25,typing on a keyboard
26,pointing to something with finger
27,taking a selfie
28,check time (from watch)
29,rub two hands together
30,nod head/bow
31,shake head
32,wipe face
33,salute
34,put the palms together
35,cross hands in front (say stop)
36,sneeze/cough
37,staggering
38,falling
39,touch head
40,touch chest (stomachache/heart pain)
41,touch back (backache)
42,touch neck (neckache)
43,nausea or vomiting condition
44,use a fan (with hand or paper)/feeling warm
45,punching/slapping other person
46,kicking other person
47,pushing other person
48,pat on back of other person
49,point finger at the other person
50,hugging other person
51,giving something to other person
52,handshaking
53,walking towards each other
54,walking apart from each other
