id,name
0,drink water
1,eat meal/snack
2,brushing teeth
3,brushing hair
4,drop
5,throw
6,sitting down
7,standing up (from sitting position)
8,reading
9,tear up paper
10,wear jacket
11,take off jacket
12,wear a shoe
13,wear on glasses
14,put on a hat/cap
15,cheer up
16,kicking something
17,reach into pocket
18,hopping (one foot jumping)
19,jump up
20,make a phone call/answer phone
21,playing with phone/tablet
22,pointing to something with finger
23,taking a selfie
24,check time (from watch)
25,rub two hands together
26,nod head/bow
27,wipe face
28,salute
29,put the palms together
30,sneeze/cough
31,staggering
32,falling
33,touch head (headache)
34,touch chest (stomachache/heart pain)
35,touch neck (neckache)
36,nausea or vomiting condition
37,use a fan (with hand or paper)/feeling warm
38,kicking other person
39,pushing other person
40,pat on back of other person
41,point finger at the other person
42,hugging other person
43,giving something to other person
44,touch other persons pocket
45,handshaking
46,walking towards each other
47,put on headphone
48,take off headphone
49,shoot at the basket
50,bounce ball
51,tennis bat swing
52,juggling table tennis balls
53,hush (quite)
54,flick hair
55,thumb down
56,make victory sign
57,staple book
58,counting money
59,cutting nails
60,cutting paper (using scissors)
61,snapping fingers
62,open bottle
63,sniff (smell)
64,squat down
65,toss a coin
66,ball up paper
67,play magic cube
68,apply cream on hand back
69,put on bag
70,put something into a bag
71,take something out of a bag
72,open a box
73,move heavy objects
74,shake fist
75,cross arms
76,arm circles
77,arm swings
78,running on the spot
79,butt kicks (kick backward)
80,cross toe touch
81,side kick
82,yawn
83,stretch oneself
84,hit other person with something
85,wield knife towards other person
86,knock over other person (hit with body)
87,grab other person’s stuff
88,shoot at other person with a gun
89,step on foot
90,high-five
91,cheers and drink
92,follow other person
93,whisper in other person’s ear
94,exchange things with other person
95,support somebody with hand
